state,fips,year,pop
Alabama,1,1970,3475885
Alaska,2,1970,304067
Arizona,4,1970,1787620
Arkansas,5,1970,1942303
California,6,1970,20098863
Colorado,8,1970,2226771
Connecticut,9,1970,3050693
Delaware,10,1970,551928
District of Columbia,11,1970,756510
Florida,12,1970,6855702
Georgia,13,1970,4627306
Hawaii,15,1970,784901
Idaho,16,1970,719921
Illinois,17,1970,11184320
Indiana,18,1970,5228156
Iowa,19,1970,2846920
Kansas,20,1970,2265846
Kentucky,21,1970,3246481
Louisiana,22,1970,3672008
Maine,23,1970,1006320
Maryland,24,1970,3953698
Massachusetts,25,1970,5726676
Michigan,26,1970,8937196
Minnesota,27,1970,3833173
Mississippi,28,1970,2233848
Missouri,29,1970,4718034
Montana,30,1970,701573
Nebraska,31,1970,1496820
Nevada,32,1970,492396
New Hampshire,33,1970,746284
New Jersey,34,1970,7208035
New Mexico,35,1970,1026664
New York,36,1970,18338055
North Carolina,37,1970,5125230
North Dakota,38,1970,624181
Ohio,39,1970,10730200
Oklahoma,40,1970,2585486
Oregon,41,1970,2110810
Pennsylvania,42,1970,11884314
Rhode Island,44,1970,957798
South Carolina,45,1970,2617320
South Dakota,46,1970,673247
Tennessee,47,1970,3961060
Texas,48,1970,11298787
Utah,49,1970,1067810
Vermont,50,1970,448327
Virginia,51,1970,4690742
Washington,53,1970,3443487
West Virginia,54,1970,1763331
Wisconsin,55,1970,4447013
Wyoming,56,1970,335719
