state,fips,year,pop
Alabama,01,1960,3266740
Alaska,02,1960,226167
Arizona,04,1960,1302161
Arkansas,05,1960,1786272
California,06,1960,15717204
Colorado,08,1960,1753947
Connecticut,09,1960,2535234
Delaware,10,1960,446292
District of Columbia,11,1960,763956
Florida,12,1960,4951560
Georgia,13,1960,3943116
Hawaii,15,1960,632772
Idaho,16,1960,667191
Illinois,17,1960,10081158
Indiana,18,1960,4662498
Iowa,19,1960,2757537
Kansas,20,1960,2178611
Kentucky,21,1960,3038156
Louisiana,22,1960,3257022
Maine,23,1960,969265
Maryland,24,1960,3100689
Massachusetts,25,1960,5148578
Michigan,26,1960,7823194
Minnesota,27,1960,3413864
Mississippi,28,1960,2178141
Missouri,29,1960,4319813
Montana,30,1960,674767
Nebraska,31,1960,1411330
Nevada,32,1960,285278
New Hampshire,33,1960,606921
New Jersey,34,1960,6066782
New Mexico,35,1960,951023
New York,36,1960,16782304
North Carolina,37,1960,4556155
North Dakota,38,1960,632446
Ohio,39,1960,9706397
Oklahoma,40,1960,2328284
Oregon,41,1960,1768687
Pennsylvania,42,1960,11319366
Rhode Island,44,1960,859488
South Carolina,45,1960,2382594
South Dakota,46,1960,680514
Tennessee,47,1960,3567089
Texas,48,1960,9579677
Utah,49,1960,890627
Vermont,50,1960,389881
Virginia,51,1960,3966949
Washington,53,1960,2853214
West Virginia,54,1960,1860421
Wisconsin,55,1960,3951777
Wyoming,56,1960,330066
