state,seats,pop,resident,overseas,year
Alabama,7,4062608,4040587,22021,1990
Alaska,1,551947,550043,1904,1990
Arizona,6,3677985,3665228,12757,1990
Arkansas,4,2362239,2350725,11514,1990
California,52,29839250,29760021,79229,1990
Colorado,6,3307912,3294394,13518,1990
Connecticut,6,3295669,3287116,8553,1990
Delaware,1,668696,666168,2528,1990
Florida,23,13003362,12937926,65436,1990
Georgia,11,6508419,6478216,30203,1990
Hawaii,2,1115274,1108229,7045,1990
Idaho,2,1011986,1006749,5237,1990
Illinois,20,11466682,11430602,36080,1990
Indiana,10,5564228,5544159,20069,1990
Iowa,5,2787424,2776755,10669,1990
Kansas,4,2485600,2477574,8026,1990
Kentucky,6,3698969,3685296,13673,1990
Louisiana,7,4238216,4219973,18243,1990
Maine,2,1233223,1227928,5295,1990
Maryland,8,4798622,4781468,17154,1990
Massachusetts,10,6029051,6016425,12626,1990
Michigan,16,9328784,9295297,33487,1990
Minnesota,8,4387029,4375099,11930,1990
Mississippi,5,2586443,2573216,13227,1990
Missouri,9,5137804,5117073,20731,1990
Montana,1,803655,799065,4590,1990
Nebraska,3,1584617,1578385,6232,1990
Nevada,2,1206152,1201833,4319,1990
New Hampshire,2,1113915,1109252,4663,1990
New Jersey,13,7748634,7730188,18446,1990
New Mexico,3,1521779,1515069,6710,1990
New York,31,18044505,17990455,54050,1990
North Carolina,12,6657630,6628637,28993,1990
North Dakota,1,641364,638800,2564,1990
Ohio,19,10887325,10847115,40210,1990
Oklahoma,6,3157604,3145585,12019,1990
Oregon,5,2853733,2842321,11412,1990
Pennsylvania,21,11924710,11881643,43067,1990
Rhode Island,2,1005984,1003464,2520,1990
South Carolina,6,3505707,3486703,19004,1990
South Dakota,1,699999,696004,3995,1990
Tennessee,9,4896641,4877185,19456,1990
Texas,30,17059805,16986510,73295,1990
Utah,3,1727784,1722850,4934,1990
Vermont,1,564964,562758,2206,1990
Virginia,11,6216568,6187358,29210,1990
Washington,9,4887941,4866692,21249,1990
West Virginia,3,1801625,1793477,8148,1990
Wisconsin,9,4906745,4891769,14976,1990
Wyoming,1,455975,453588,2387,1990
