state,pop,seats
Alabama,4461130,7
Alaska,628933,1
Arizona,5140683,8
Arkansas,2679733,4
California,33930798,53
Colorado,4311882,7
Connecticut,3409535,5
Delaware,785068,1
Florida,16028890,25
Georgia,8206975,13
Hawaii,1216642,2
Idaho,1297274,2
Illinois,12439042,19
Indiana,6090782,9
Iowa,2931923,5
Kansas,2693824,4
Kentucky,4049431,6
Louisiana,4480271,7
Maine,1277731,2
Maryland,5307886,8
Massachusetts,6355568,10
Michigan,9955829,15
Minnesota,4925670,8
Mississippi,2852927,4
Missouri,5606260,9
Montana,905316,1
Nebraska,1715369,3
Nevada,2002032,3
New Hampshire,1238415,2
New Jersey,8424354,13
New Mexico,1823821,3
New York,19004973,29
North Carolina,8067673,13
North Dakota,643756,1
Ohio,11374540,18
Oklahoma,3458819,5
Oregon,3428543,5
Pennsylvania,12300670,19
Rhode Island,1049662,2
South Carolina,4025061,6
South Dakota,756874,1
Tennessee,5700037,9
Texas,20903994,32
Utah,2236714,3
Vermont,609890,1
Virginia,7100702,11
Washington,5908684,9
West Virginia,1813077,3
Wisconsin,5371210,8
Wyoming,495304,1
